Text,Sentiment,User
"RT @SenMcSallyAZ: .@Raytheon is headquartering its combined missiles defense unit right here in Southern Arizona.
https://t.co/KhQRzdvSXt",0,realDonaldTrump
RT @MarshaBlackburn: Our Founders would be “aghast” if they knew Adam Schiff released private phone records of a journalist and the top Rep…,0,realDonaldTrump
"RT @MarshaBlackburn: Fighting corruption is not an impeachable offense.
 
A policy disagreement is not an impeachable offense.
 
Asserting…",0,realDonaldTrump
"RT @MarshaBlackburn: This weekend, Senators Bennet, Klobuchar, Sanders and Warren were campaigning to replace @realDonaldTrump. Today, they…",0,realDonaldTrump
"RT @MarshaBlackburn: Democrats took our country on a wild goose chase, starting with the Mueller Report, and persisting with a partisan imp…",0,realDonaldTrump
"RT @MarshaBlackburn: The House Impeachment Managers have refused to answer basic questions about coordination with the “whistleblower.”
 
1…",0,realDonaldTrump
RT @MarshaBlackburn: Impeachment* https://t.co/B9CrPQDNkO,0,realDonaldTrump
RT @GOP: “A lot of candidates running for office and a lot of politicians talk about doing something about criminal justice reform but real…,0,realDonaldTrump
"RT @GOP: “By approving both articles, the House of Representatives violated our Constitutional order, illegally abused their power of impea…",0,realDonaldTrump
"RT @RNCLatinos: .@mercedesschlapp:

""Democrats have a socialist agenda while President @realDonaldTrump is focused on results.""

Mercedes S…",0,realDonaldTrump
"RT @GOP: The RNC and @TeamTrump make an HISTORIC fundraising team - just ask Campaign Manager, @parscale ⬇️
 
“The fundraising is out of th…",0,realDonaldTrump
"RT @GOP: RT if you’re STILL not tired of winning!
https://t.co/8LFQFEqXIv",0,realDonaldTrump
RT @GOP: “The President has strong economic numbers… and people are feeling better than they did four years ago.” -@GOPChairwoman https://t…,0,realDonaldTrump
"RT @SenRonJohnson: To use the House managers’ own argument on witnesses:
 
“The American people deserve a fair impeachment.”
“The Constitut…",0,realDonaldTrump
"RT @SenRonJohnson: Unfortunately, the House did not deliver a fair impeachment to the Senate. Instead, contrary to the warnings of @Speaker…",0,realDonaldTrump
RT @SenRonJohnson: House Democrats now demand the Senate do their investigatory work for them. Caving to their demands would have set a dan…,0,realDonaldTrump
"RT @SenJohnBarrasso: Voting is starting in Iowa today. The decision on who the president should be is made by voters, not by the United Sta…",0,realDonaldTrump
"RT @SenTedCruz: Democrats wanted Senate impeachment witnesses because they failed to prove their case.
https://t.co/aanvUqjfwH",0,realDonaldTrump
RT @SenCapito: Just wanted to give an update on where we are with the #impeachment trial this week: https://t.co/NQrTtE50bj,0,realDonaldTrump
"RT @SenateGOP: 13 witnesses.

28,578 documents.

193 video clips.

The Senate carried out our constitutional duty FAIRLY, and @realdonaldtr…",0,realDonaldTrump
Many people do not know what a great guy &amp; fantastic political talent the great Rush Limbaugh is. There is nobody l… https://t.co/VvdCXTbI3R,0,realDonaldTrump
https://t.co/KSVkKL76NM,0,realDonaldTrump
Where’s the Whistleblower? Where’s the second Whistleblower? Where’s the Informer? Why did Corrupt politician Schif… https://t.co/rPE6VcffXj,0,realDonaldTrump
KEEP AMERICA GREAT!,0,realDonaldTrump
MAKE AMERICA GREAT AGAIN!,0,realDonaldTrump
"Republicans in Iowa, go out and Caucus today. Your great Trade Deals with China, Mexico, Canada, Japan, South Korea… https://t.co/rZTznIgOXe",0,realDonaldTrump
"I hope Republicans &amp; the American people realize that the totally partisan Impeachment Hoax is exacty that, a Hoax.… https://t.co/FzKPQnD0Bi",0,realDonaldTrump
"RT @michaelbeatty3: ""MY VIEWERS WANT ACCOUNTABILITY!!!!""
""WE'LL BE WATCHING SENATOR""
Maria says EXACTLY what Americans are thinking.
THANK…",0,realDonaldTrump
@LindseyGrahamSC https://t.co/lWUKpH1ydc,0,realDonaldTrump
"The DNC on Bernie Sanders, “Looks like they’re going to do it to him again, doesn’t it?” @SteveDoocy @foxandfriends",0,realDonaldTrump
"RT @realDonaldTrump: I promised to restore hope in America. That includes the least among us. Together, let’s KEEP AMERICA GREAT! 

Text TR…",0,realDonaldTrump
Hope you liked this! https://t.co/y1j2Wf6J4p,0,realDonaldTrump
RT @GOPChairwoman: The RNC is building the biggest data infrastructure and ground game in the history of politics to re-elect @realDonaldTr…,0,realDonaldTrump
RT @TeamTrump: President @realDonaldTrump: We have a 'Positive Revolution' going on in America! https://t.co/rqLyiu6CpW,0,realDonaldTrump
Great company! https://t.co/Q1NFAHrC3p,0,realDonaldTrump
"RT @DonaldJTrumpJr: My father @realDonaldTrump promised to restore hope in America. 

That includes EVERYONE!!!

Together, let’s KEEP AMERI…",0,realDonaldTrump
Thank you Mike! https://t.co/iNwuaJ3KVP,0,realDonaldTrump
"RT @TeamTrump: Our SECOND #SuperBowl ad just aired!

America is Stronger, Safer, and More Prosperous thanks to President @realDonaldTrump…",0,realDonaldTrump
RT @realDonaldTrump: Congratulations to the Kansas City Chiefs on a great game and a fantastic comeback under immense pressure. We are prou…,0,realDonaldTrump
RT @parscale: The triggered left is doing everything possible to make negative talking points about the @realDonaldTrump #SuperBowl ad abou…,0,realDonaldTrump
RT @DavidAFrench: This was a good ad highlighting a very good thing Trump did. @AliceMarieFree is a good friend and a wonderful person.,0,realDonaldTrump
"RT @AliceMarieFree: Two Super Bowls ago I was sitting in a prison cell.

Today I am a free woman and my story was featured in a Super Bowl…",0,realDonaldTrump
So Great! https://t.co/5d9CZ0zIIQ,0,realDonaldTrump
Congratulations to the Kansas City Chiefs on a great game and a fantastic comeback under immense pressure. We are p… https://t.co/ECvMGuqxlJ,0,realDonaldTrump
"RT @Lrihendry: @realDonaldTrump BEST SUPER BOWL AD EVER! 

President Trump making lives better for minorities! 

Unlike Obama, who did noth…",0,realDonaldTrump
RT @IsraelUSAforevr: @realDonaldTrump The best president ever https://t.co/QeXxsp7eDi,0,realDonaldTrump
"RT @SexCounseling: @realDonaldTrump You have already done that in so many ways with prison reform, choice for veterans and a booming econom…",0,realDonaldTrump
RT @CarlHigbie: @realDonaldTrump And all they got is a fraud impeachment. 2020 is gonna rock!!,0,realDonaldTrump
RT @Sensedog: @realDonaldTrump Thank you Mr. President.,0,realDonaldTrump
"RT @SoCal4Trump: @realDonaldTrump Just saw the ad during the Super Bowl. Awesome ad, Mr. President. Politicians in the past have TALKED abo…",0,realDonaldTrump
"RT @RSBNetwork: @realDonaldTrump Promises MADE, Promises KEPT 🇺🇸",0,realDonaldTrump
RT @leodunson: @realDonaldTrump The Republican Party my whole life has ignored Black America. This President continues to prove over and ov…,0,realDonaldTrump
"I promised to restore hope in America. That includes the least among us. Together, let’s KEEP AMERICA GREAT! 

Text… https://t.co/qgskhRQKI7",0,realDonaldTrump
"ENJOY THE GAME USA, OUR COUNTRY IS DOING GREAT!",0,realDonaldTrump
My @SuperBowl Interview at 3:30 P.M. on @foxnetworks. Enjoy!,0,realDonaldTrump
"Mini Mike is now negotiating both to get on the Democrat Primary debate stage, and to have the right to stand on bo… https://t.co/BSQLhAbXLS",0,realDonaldTrump
"Many of the ads you are watching were paid for by Mini Mike Bloomberg. He is going nowhere, just wasting his money,… https://t.co/s7j22UtMpb",0,realDonaldTrump
"Mini Mike is part of the Fake News. They are all working together. In fact, Bloomberg isn’t covering himself (too b… https://t.co/1bnPMHHyA0",0,realDonaldTrump
"The Radical Left, Do Nothing Democrats, don’t want justice when pushing the Impeachment Hoax, they only want to des… https://t.co/CgC43zFrnz",0,realDonaldTrump
RT @DanScavino: #KeepAmericaGreat2020🇺🇸 https://t.co/GpTygflvgJ,0,realDonaldTrump
RT @tedcruz: Thx!,0,realDonaldTrump
RT @LindseyGrahamSC: I’m very pleased the Senate has rejected Democrats’ request to call additional witnesses after the House chose not to.…,0,realDonaldTrump
RT @LindseyGrahamSC: The fact is the House chose not to call witnesses like John Bolton because they wanted to impeach President Trump befo…,0,realDonaldTrump
"RT @LindseyGrahamSC: This has been a partisan impeachment from Day 1 – terrible on process and dangerous on substance.  

It rings hollow f…",0,realDonaldTrump
"RT @GOP: Before Democrats like Adam Schiff were trying to use John Bolton to advance their political agenda, they were railing against him…",0,realDonaldTrump
"RT @GOP: “[House Democrats] created the record. Do not allow them to penalize the country, and the Constitution, because they failed to do…",0,realDonaldTrump
"RT @GOP: Today, President @realDonaldTrump reiterated his administration’s commitment to eradicate the scourge of human trafficking at toda…",0,realDonaldTrump
RT @GOP: “We are dismantling the criminal organizations that make large-scale human trafficking possible.” -@realDonaldTrump https://t.co/X…,0,realDonaldTrump
"RT @GOP: “The economy is working for workers, and they know it.”
https://t.co/AIs469gAQE",0,realDonaldTrump
"RT @GOP: President @realDonaldTrump has made Historically Black Colleges and Universities a priority.

He's appropriated more money to HBCU…",0,realDonaldTrump
RT @GOP: “This entire impeachment sham has been a predetermined narrative full of lies and false accusations designed to divide America and…,0,realDonaldTrump
"RT @GOP: African Americans have a champion in Pres. Trump!
 
He's created 1.6 MILLION jobs for black Americans since his election.
 
Africa…",0,realDonaldTrump
"RT @GOP: 👍👍👍
https://t.co/mXV8JKuqyF",0,realDonaldTrump
"RT @GOP: “We’ve known this has been a waste of time and a sham from the beginning, and America is ready to move on. I think they've shown t…",0,realDonaldTrump
Correct! https://t.co/V5Xye7zAcN,0,realDonaldTrump
"RT @senatemajldr: A majority of the U.S. Senate has determined that the numerous witnesses and 28,000-plus pages of documents already in ev…",0,realDonaldTrump
"RT @EliseStefanik: Adam Schiff’s impeachment sham is OVER. 

It was partisan, unconstitutional, unfair, and flawed from the very start. 

F…",0,realDonaldTrump
"RT @SecAzar: At this time, the risk to Americans remains low, and we are working to keep it that way. We will continue our work to monitor,…",0,realDonaldTrump
Thanks for your invaluable help Chuck! https://t.co/x0T0GWvntd,0,realDonaldTrump
RT @SenPatRoberts: I'm proud to have stood with @realDonaldTrump as he signed the USMCA implementing legislation at the @WhiteHouse today.…,0,realDonaldTrump
"RT @SenPatRoberts: After hearing the entire case presented, I believe we’ve heard all we need in this impeachment trial. The job of the Sen…",0,realDonaldTrump
"RT @JerryMoran: When I took the oath at the beginning of the trial, I vowed to deliver impartial justice according to the Constitution &amp; th…",0,realDonaldTrump
RT @JerryMoran: It became clear over the course of the House managers’ arguments that the House failed to undertake its responsibility to c…,0,realDonaldTrump
"RT @JerryMoran: Nevertheless, having heard from both sides, the arguments demonstrate that additional evidence or witnesses would not chang…",0,realDonaldTrump
"RT @SenateGOP: Trade with Mexico and Canada supports 12 million American jobs. 

USMCA secures those jobs and grows our economy by $70 bill…",0,realDonaldTrump
"RT @MikeCrapo: Over the course of 9 days, we have reviewed testimony from 13 witnesses sworn under oath in the House hearings; over 28,000…",0,realDonaldTrump
RT @MikeCrapo: Read mine and @SenatorRisch full statement: https://t.co/rDqNmVxxl5,0,realDonaldTrump
"RT @SenJohnKennedy: Promise kept!
 
Today, @realDonaldTrump officially signed the historic #USMCA deal into law.
 
This trade deal is a mas…",0,realDonaldTrump
"RT @SenJohnKennedy: Reports of Bolton’s book don't answer the question: Why did POTUS ask for an investigation?

The Ukrainian government h…",0,realDonaldTrump
"RT @JimInhofe: After over 50 hours of testimony, questions and debate, I voted today to move to the next phase of the impeachment process.…",0,realDonaldTrump
RT @JimInhofe: Despite Democrat efforts to distract citizens and stain his presidency with a partisan and unprecedented impeachment process…,0,realDonaldTrump
"Wall is moving along strong, tall and quickly. Thank you Jim for all of your help! https://t.co/1dlC0dZ0ui",0,realDonaldTrump
Thank you John! https://t.co/5IVTZ2QY3r,0,realDonaldTrump
Happy birthday to a wonderful man &amp; friend! https://t.co/AaqQ6Pvtyw,0,realDonaldTrump
"RT @NewsBowne: Schumer Shot Down By Justice Roberts.
https://t.co/fY9tPt9Jrf https://t.co/Y0iMfnkD4f",0,realDonaldTrump
"RT @JohnCornyn: Senators Schumer, Warren, Van Hollen, and Congressman Schiff each tried to suck the Chief Justice into the vortex of their…",0,realDonaldTrump
"RT @FLOTUS: For the first time in 29 years, drug overdose deaths have dropped by 4.1% and life expectancy has increased by 4 years! Proud o…",0,realDonaldTrump
RT @SenBillCassidy: Nancy Pelosi is accusing the Senate of not being fair because we refused to do her work for her. The truth is the House…,0,realDonaldTrump
